wealth,talent,lucky_cnt,unlucky_cnt
5.0,0.5937260865810947,3,2
0.625,0.47547927335039,5,6
20.0,0.5813872016058684,5,3
1.25,0.7365036156483538,1,4
20.0,0.3381212552438822,7,3
5.0,0.5891819205715094,3,4
0.625,0.6156387285253417,3,5
1.25,0.48544346591034726,3,5
0.15625,0.7998370698512433,2,7
5.0,0.6059836578898018,3,2
10.0,0.6599414128453848,2,2
10.0,0.5362355518536878,6,3
5.0,0.5889516478804027,1,2
40.0,0.6140593815207964,3,1
2.5,0.8088795234516053,3,5
0.625,0.5008483971687557,3,4
5.0,0.4575260635647727,5,2
0.625,0.5376663486109085,2,5
10.0,0.42355086068032644,2,1
0.625,0.5788096618983908,1,5
10.0,0.4651953996566648,1,1
10.0,0.5516585489026005,2,2
1.25,0.6497242531792485,3,4
40.0,0.5020317445459656,6,2
0.625,0.6203378192330089,1,5
10,0.5941215567616651,1,0
5.0,0.651818898711669,7,5
5.0,0.5980493473125279,3,3
160.0,0.7452599376756329,5,1
1.25,0.718943473741931,2,4
80,0.5668079607825922,3,0
1.25,0.42428901607003466,3,4
5.0,0.7844452709824998,2,2
0.3125,0.6289930184208276,1,5
20.0,0.6053763723488045,4,2
0.625,0.5425776604787075,3,5
5.0,0.43262571855790455,1,1
2.5,0.5742379874082087,4,5
1.25,0.5532410285631871,5,6
2.5,0.5848758382140257,1,2
1.25,0.699062926159382,3,6
0.625,0.4669516022384059,4,5
160,0.6696491143329414,4,0
640,0.6472808245157881,7,0
2.5,0.5767998660369924,5,4
20.0,0.8527705973371323,2,1
20.0,0.6538478952852996,5,1
20.0,0.5837772558713015,3,2
1.25,0.6167996754510434,2,4
160.0,0.4462282344060292,8,1
2.5,0.6965930372542708,2,3
5.0,0.7397341566240219,4,4
20.0,0.7581186229231908,6,3
5.0,0.5441222641950791,5,3
0.078125,0.5887664126465747,1,7
10.0,0.4785848998124618,6,3
160,0.602792312093407,5,0
5.0,0.4804397341394831,4,3
