wealth,talent,lucky_cnt,unlucky_cnt
80,0.5327621214578637,5,1
10.0,0.5737354760862163,2,3
40.0,0.5167653304060669,5,4
10.0,0.618077910071075,2,4
10.0,0.6607205120709143,3,3
10.0,0.5279274425524463,5,5
5.0,0.5320023499628088,5,2
2.5,0.6318403546413908,1,4
40.0,0.6435698471381653,6,3
640.0,0.6351114582404308,13,11
40,0.7926823265955655,4,3
5.0,0.547721276776553,2,3
80,0.47736658906526613,7,1
80.0,0.6742414774302381,7,3
80.0,0.9128791528369226,5,4
5.0,0.546735266306178,5,4
20.0,0.6962761876388585,4,6
160.0,0.6260540005578743,5,6
2.5,0.5868015294441853,2,5
10.0,0.6893237790582476,3,1
20.0,0.5381724295973798,5,2
1280.0,0.7437731642371525,10,3
320.0,0.7086539314374176,7,6
20.0,0.588790296172089,8,4
10.0,0.6585092748072947,1,3
1280,0.9063557152689214,8,3
10.0,0.6383598197237564,7,7
5.0,0.5182212770494277,4,5
10.0,0.5320893746711793,6,9
320,0.8286128964927189,5,6
80.0,0.5465237961462074,7,3
2.5,0.5896783252994413,5,7
80.0,0.5877378891382204,7,2
20.0,0.45964844029886104,3,3
40,0.6357818817677053,3,5
20,0.5235704464738352,3,3
80.0,0.5889676096713737,4,2
10.0,0.6052687811317181,5,4
10.0,0.6159502424567943,3,4
10.0,0.6040517099561816,3,4
40.0,0.46197214477231563,6,6
10.0,0.5512423279720887,1,5
20,0.8027174751995235,3,2
160.0,0.723688721334367,5,4
10.0,0.47698221270571384,8,3
20.0,0.6223265605834954,8,5
5.0,0.5860873799174476,1,3
160,0.40816616098090575,5,1
40.0,0.5409178307605806,4,3
20.0,0.44767545706192413,4,2
5.0,0.6467645005156675,2,5
20,0.5009968022420126,3,2
160.0,0.6109837260233912,7,4
40,0.6054959623800256,2,3
80.0,0.6907244066609685,6,6
20.0,0.7171852886115975,5,3
40.0,0.598451313755873,5,5
5.0,0.6814540241521231,3,6
40.0,0.5263586466597348,10,6
40,0.6532740835695396,2,5
2.5,0.6833592979114378,2,6
80.0,0.6987674402184515,6,8
0.625,0.5778038242715887,1,5
10.0,0.6202312224412941,3,4
20.0,0.6606984394754222,4,9
320.0,0.7185821331527709,8,3
10.0,0.6875309775133865,4,5
20.0,0.7785782820014654,4,3
10.0,0.5764357872124225,7,10
5.0,0.4673975099352265,0,3
10.0,0.647342012973313,4,4
20.0,0.5737805587567197,3,1
1.25,0.3982233653968116,3,5
20.0,0.6477043194306819,5,3
80.0,0.6046982479557186,8,5
10.0,0.6324033508483777,2,3
160,0.5074596456383684,7,2
20.0,0.6781905709109235,5,2
10.0,0.7015834600193276,5,1
5.0,0.44303702253982913,2,4
40.0,0.7784231290288055,6,4
40.0,0.6423044311247437,7,5
80.0,0.7073705462346422,6,6
640,0.6976989816199891,7,2
40.0,0.59539381892452,7,2
20,0.46683248289952906,2,1
10.0,0.8249109431411987,6,8
320,0.6559375295977818,5,3
2.5,0.5753171736082082,2,6
20,0.6896399128095612,1,2
0.625,0.38286014688757497,3,7
20.0,0.7623517457320915,9,12
20.0,0.7063221760357783,5,8
10,0.817599541040359,0,3
10.0,0.6093716121647843,6,5
80,0.7696271255163238,6,8
40.0,0.6362743043380553,3,5
80.0,0.5056257265652595,5,3
160.0,0.7843046301949157,7,7
40.0,0.6009086864371859,3,1
2.5,0.6082791958712405,3,6
2.5,0.41866203408555847,4,5
80.0,0.6796477727539422,5,3
40.0,0.7108971247664384,5,3
40.0,0.6077076562326394,4,2
40.0,0.5905781259934493,5,4
10,0.5988150598499056,3,1
2.5,0.49289338575246616,5,7
5.0,0.5246982458851364,1,10
20.0,0.5537481644337025,3,1
2.5,0.6431459851653838,0,4
5.0,0.547817728074873,5,5
20.0,0.5702628115945472,3,5
10.0,0.5413209547915112,3,5
80.0,0.7359972686689845,5,6
40,0.5893440446395488,4,2
20.0,0.5969455285699642,3,3
5.0,0.5417124852433854,3,3
20,0.8049557660853284,3,3
10.0,0.7337807777664744,1,3
160,0.8029977828993002,5,6
10.0,0.5216285476203528,4,4
20,0.5788861224840169,2,2
10.0,0.8099221441851823,2,5
20.0,0.6827772667831954,4,2
40.0,0.6314761632544547,5,4
10.0,0.5343939367899575,3,6
10.0,0.6134508689633187,4,2
10.0,0.573306911563193,2,6
20.0,0.5372064874985627,3,5
2.5,0.4664832203618293,3,4
80.0,0.6701757540152116,7,4
80.0,0.7116539712316186,5,2
160,0.5932173714424818,4,1
10.0,0.5302446864799841,1,2
10.0,0.47410299566245595,5,5
40.0,0.5833422597691775,3,4
5.0,0.4653338966790773,3,8
80.0,0.5175922909539266,6,5
20.0,0.6718657463944643,6,2
40,0.7423416684892403,3,6
2.5,0.5144631018660103,4,7
20.0,0.5592418622202735,3,2
20.0,0.7108556970256273,3,3
80.0,0.733334759468364,4,5
2.5,0.6387902860045145,6,9
2560,0.5827787107824786,12,3
20.0,0.33482355652551354,4,4
5.0,0.6016941335950694,2,5
5.0,0.7490277767296251,5,9
20,0.7630466173988057,1,3
80.0,0.440484089918197,6,1
5.0,0.5023345392770514,1,9
40,0.8160229767965947,3,3
80,0.7246651966791521,5,3
20.0,0.4855223698347117,5,4
10.0,0.6970788444941484,2,4
160,0.5207178909544805,9,2
2.5,0.4803009478047922,4,3
80,0.7000636489167651,5,4
320.0,0.7014210280687949,6,3
10.0,0.5655042923242823,4,5
20,0.6552414458686939,1,0
0.625,0.5228275632580179,3,9
5.0,0.5439916011963069,3,4
1.25,0.6259917864577068,1,5
5.0,0.4803652061009318,4,4
5.0,0.5579209057294907,2,4
80.0,0.8296714687747069,6,5
10.0,0.6344817215541583,4,6
10.0,0.6320063022191845,4,3
10.0,0.5237101981372605,4,4
20.0,0.558971920399335,3,2
20.0,0.7451935216286363,3,4
10.0,0.43431455585295137,3,3
320,0.6631700280542409,5,1
10.0,0.756709005735444,4,5
5.0,0.5534471764507792,6,7
2.5,0.42891570438135124,5,6
40.0,0.5478496000324993,7,5
80.0,0.7637916924426287,4,6
5.0,0.5937414308083592,1,5
40.0,0.6021227679239339,3,2
80,0.7145441971300027,8,2
10,0.39393621249057353,1,4
10.0,0.5729703941939006,4,3
40,0.556251088024664,3,1
2.5,0.43423055464055704,4,4
20.0,0.39290120629275577,4,2
5.0,0.6154258221987953,7,8
20,0.49359117153791954,2,0
0.625,0.43346773218594437,2,7
5.0,0.5818867290177729,0,2
10.0,0.5707198778795579,4,3
20,0.44536698216080817,5,1
20.0,0.530375433545739,5,6
0.625,0.5118307046638173,3,10
40.0,0.6110518828411021,5,6
320.0,0.651445965995318,8,10
20.0,0.5330900866052488,7,9
20.0,0.3684923729310479,5,2
